Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
The Est?ö£?îÉe Lauder Companies Inc.,elcompanies.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Est?ö£?îÉe%20Lauder%20Companies%20Inc./The%20Est?ö£?îÉe%20Lauder%20Companies%20Inc..html,,,,,
"BlackRock, Inc.",blackrock.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/BlackRock,%20Inc./BlackRock,%20Inc..html",,,,,
"Western Refining, Inc.",wnr.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Western%20Refining,%20Inc./Western%20Refining,%20Inc..html",,,,,
"Avon Products, Inc.",avoncompany.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Avon%20Products,%20Inc./Avon%20Products,%20Inc..html",,,,,
The Mosaic Company,mosaicco.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Mosaic%20Company/The%20Mosaic%20Company.html,,,,,
Public Service Enterprise Group Incorporated,pseg.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Public%20Service%20Enterprise%20Group%20Incorporated/Public%20Service%20Enterprise%20Group%20Incorporated.html,,,,,
Dean Foods Company,deanfoods.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Dean%20Foods%20Company/Dean%20Foods%20Company.html,,,,,
Cameron International Corporation,c-a-m.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Cameron%20International%20Corporation/Cameron%20International%20Corporation.html,,,,,
MGM Resorts International,mgmresorts.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/MGM%20Resorts%20International/MGM%20Resorts%20International.html,,,,,
KKR & Co. L.P.,kkr.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/KKR%20&%20Co.%20L.P./KKR%20&%20Co.%20L.P..html,,,,,
Hilton Worldwide Holdings Inc.,hiltonworldwide.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Hilton%20Worldwide%20Holdings%20Inc./Hilton%20Worldwide%20Holdings%20Inc..html,,,,,
DTE Energy Company,dteenergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/DTE%20Energy%20Company/DTE%20Energy%20Company.html,,,,,
"Genworth Financial, Inc.",genworth.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Genworth%20Financial,%20Inc./Genworth%20Financial,%20Inc..html",,,,,
"Henry Schein, Inc.",henryschein.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Henry%20Schein,%20Inc./Henry%20Schein,%20Inc..html",,,,,
Rock-Tenn Company,rocktenn.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Rock-Tenn%20Company/Rock-Tenn%20Company.html,,,,,
"WellCare Health Plans, Inc.",wellcare.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/WellCare%20Health%20Plans,%20Inc./WellCare%20Health%20Plans,%20Inc..html",,,,,
"W.W. Grainger, Inc.",grainger.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/W.W.%20Grainger,%20Inc./W.W.%20Grainger,%20Inc..html",,,,,
Discover Financial Services,discoverfinancial.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Discover%20Financial%20Services/Discover%20Financial%20Services.html,,,,,
Eastman Chemical Company,eastman.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Eastman%20Chemical%20Company/Eastman%20Chemical%20Company.html,,,,,
"Principal Financial Group, Inc.",principal.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Principal%20Financial%20Group,%20Inc./Principal%20Financial%20Group,%20Inc..html",,,,,
Reliance Steel & Aluminum Co.,rsac.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Reliance%20Steel%20&%20Aluminum%20Co./Reliance%20Steel%20&%20Aluminum%20Co..html,,,,,
"AutoZone, Inc.",autozone.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/AutoZone,%20Inc./AutoZone,%20Inc..html",,,,,
Dover Corporation,dovercorporation.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Dover%20Corporation/Dover%20Corporation.html,,,,,
"Micron Technology, Inc.",micron.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Micron%20Technology,%20Inc./Micron%20Technology,%20Inc..html",,,,,
"Owens & Minor, Inc.",owens-minor.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Owens%20&%20Minor,%20Inc./Owens%20&%20Minor,%20Inc..html",,,,,
"Assurant, Inc.",assurant.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Assurant,%20Inc./Assurant,%20Inc..html",,,,,
GameStop Corp.,gamestopcorp.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/GameStop%20Corp./GameStop%20Corp..html,,,,,
Stryker Corporation,stryker.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Stryker%20Corporation/Stryker%20Corporation.html,,,,,
"Group 1 Automotive, Inc.",group1auto.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Group%201%20Automotive,%20Inc./Group%201%20Automotive,%20Inc..html",,,,,
Cognizant Technology Solutions Corporation,cognizant.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Cognizant%20Technology%20Solutions%20Corporation/Cognizant%20Technology%20Solutions%20Corporation.html,,,,,
"Sonic Automotive, Inc.",sonicautomotive.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Sonic%20Automotive,%20Inc./Sonic%20Automotive,%20Inc..html",,,,,
"Autoliv, Inc.",autoliv.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Autoliv,%20Inc./Autoliv,%20Inc..html",,,,,
Hormel Foods Corporation,hormelfoods.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Hormel%20Foods%20Corporation/Hormel%20Foods%20Corporation.html,,,,,
"Motorola Solutions, Inc.",motorolasolutions.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Motorola%20Solutions,%20Inc./Motorola%20Solutions,%20Inc..html",,,,,
"Crown Holdings, Inc.",crowncork.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Crown%20Holdings,%20Inc./Crown%20Holdings,%20Inc..html",,,,,
"SunTrust Banks, Inc.",suntrust.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/SunTrust%20Banks,%20Inc./SunTrust%20Banks,%20Inc..html",,,,,
Campbell Soup Company,campbellsoupcompany.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Campbell%20Soup%20Company/Campbell%20Soup%20Company.html,,,,,
"Fidelity National Financial, Inc.",fnf.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Fidelity%20National%20Financial,%20Inc./Fidelity%20National%20Financial,%20Inc..html",,,,,
"HD Supply Holdings, Inc.",hdsupply.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/HD%20Supply%20Holdings,%20Inc./HD%20Supply%20Holdings,%20Inc..html",,,,,
Caesars Entertainment Corporation,caesars.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Caesars%20Entertainment%20Corporation/Caesars%20Entertainment%20Corporation.html,,,,,
"Darden Restaurants, Inc.",darden.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Darden%20Restaurants,%20Inc./Darden%20Restaurants,%20Inc..html",,,,,
Weyerhaeuser Company,weyerhaeuser.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Weyerhaeuser%20Company/Weyerhaeuser%20Company.html,,,,,
Ball Corporation,ball.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ball%20Corporation/Ball%20Corporation.html,,,,,
Precision Castparts Corp.,precast.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Precision%20Castparts%20Corp./Precision%20Castparts%20Corp..html,,,,,
Masco Corporation,masco.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Masco%20Corporation/Masco%20Corporation.html,,,,,
"Universal Health Services, Inc.",uhsinc.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Universal%20Health%20Services,%20Inc./Universal%20Health%20Services,%20Inc..html",,,,,
"Republic Services, Inc.",republicservices.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Republic%20Services,%20Inc./Republic%20Services,%20Inc..html",,,,,
MasterCard Incorporated,mastercard.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/MasterCard%20Incorporated/MasterCard%20Incorporated.html,,,,,
Newmont Mining Corporation,newmont.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Newmont%20Mining%20Corporation/Newmont%20Mining%20Corporation.html,,,,,
Broadcom Corporation,broadcom.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Broadcom%20Corporation/Broadcom%20Corporation.html,,,,,
Reynolds American Inc.,reynoldsamerican.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Reynolds%20American%20Inc./Reynolds%20American%20Inc..html,,,,,
PVH Corp.,pvh.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/PVH%20Corp./PVH%20Corp..html,,,,,
"Charter Communications, Inc.",charter.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Charter%20Communications,%20Inc./Charter%20Communications,%20Inc..html",,,,,
AECOM Technology Corporation,aecom.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/AECOM%20Technology%20Corporation/AECOM%20Technology%20Corporation.html,,,,,
"CenterPoint Energy, Inc.",centerpointenergy.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/CenterPoint%20Energy,%20Inc./CenterPoint%20Energy,%20Inc..html",,,,,
Pacific Life,pacificlife.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Pacific%20Life/Pacific%20Life.html,,,,,
Thrivent Financial for Lutherans,thrivent.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Thrivent%20Financial%20for%20Lutherans/Thrivent%20Financial%20for%20Lutherans.html,,,,,
"Becton, Dickinson and Company",bd.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Becton,%20Dickinson%20and%20Company/Becton,%20Dickinson%20and%20Company.html",,,,,
"Franklin Resources, Inc.",franklinresources.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Franklin%20Resources,%20Inc./Franklin%20Resources,%20Inc..html",,,,,
Tenneco Inc.,tenneco.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Tenneco%20Inc./Tenneco%20Inc..html,,,,,
TravelCenters of America LLC,tatravelcenters.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/TravelCenters%20of%20America%20LLC/TravelCenters%20of%20America%20LLC.html,,,,,
"Avis Budget Group, Inc.",avisbudgetgroup.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Avis%20Budget%20Group,%20Inc./Avis%20Budget%20Group,%20Inc..html",,,,,
"Facebook, Inc.",facebook.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Facebook,%20Inc./Facebook,%20Inc..html",,,,,
"Dollar Tree, Inc.",dollartree.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Dollar%20Tree,%20Inc./Dollar%20Tree,%20Inc..html",,,,,
Corning Incorporated,corning.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Corning%20Incorporated/Corning%20Incorporated.html,,,,,
Ashland Inc.,ashland.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ashland%20Inc./Ashland%20Inc..html,,,,,
Sealed Air Corporation,sealedair.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Sealed%20Air%20Corporation/Sealed%20Air%20Corporation.html,,,,,
"Core-Mark Holding Company, Inc.",core-mark.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Core-Mark%20Holding%20Company,%20Inc./Core-Mark%20Holding%20Company,%20Inc..html",,,,,
Oshkosh Corporation,oshkoshcorporation.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Oshkosh%20Corporation/Oshkosh%20Corporation.html,,,,,
"Coca-Cola Enterprises, Inc.",cokecce.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Coca-Cola%20Enterprises,%20Inc./Coca-Cola%20Enterprises,%20Inc..html",,,,,
"WESCO International, Inc.",wesco.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/WESCO%20International,%20Inc./WESCO%20International,%20Inc..html",,,,,
"Applied Materials, Inc.",appliedmaterials.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Applied%20Materials,%20Inc./Applied%20Materials,%20Inc..html",,,,,
Visteon Corporation,visteon.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Visteon%20Corporation/Visteon%20Corporation.html,,,,,
BorgWarner Inc.,borgwarner.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/BorgWarner%20Inc./BorgWarner%20Inc..html,,,,,
"Spectrum Group International, Inc.",spectrumgi.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Spectrum%20Group%20International,%20Inc./Spectrum%20Group%20International,%20Inc..html",,,,,
"Oaktree Capital Group, LLC",oaktreecapital.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Oaktree%20Capital%20Group,%20LLC/Oaktree%20Capital%20Group,%20LLC.html",,,,,
"Steel Dynamics, Inc.",steeldynamics.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Steel%20Dynamics,%20Inc./Steel%20Dynamics,%20Inc..html",,,,,
Jarden Corporation,jarden.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Jarden%20Corporation/Jarden%20Corporation.html,,,,,
"Mohawk Industries, Inc.",mohawkind.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Mohawk%20Industries,%20Inc./Mohawk%20Industries,%20Inc..html",,,,,
Terex Corporation,terex.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Terex%20Corporation/Terex%20Corporation.html,,,,,
Northeast Utilities,nu.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Northeast%20Utilities/Northeast%20Utilities.html,,,,,
"KBR, Inc.",kbr.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/KBR,%20Inc./KBR,%20Inc..html",,,,,
Fifth Third Bancorp,53.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Fifth%20Third%20Bancorp/Fifth%20Third%20Bancorp.html,,,,,
UGI Corporation,ugicorp.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/UGI%20Corporation/UGI%20Corporation.html,,,,,
"CBRE Group, Inc.",cbre.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/CBRE%20Group,%20Inc./CBRE%20Group,%20Inc..html",,,,,
Quest Diagnostics Incorporated,questdiagnostics.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Quest%20Diagnostics%20Incorporated/Quest%20Diagnostics%20Incorporated.html,,,,,
Peabody Energy Corporation,peabodyenergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Peabody%20Energy%20Corporation/Peabody%20Energy%20Corporation.html,,,,,
The Hershey Company,thehersheycompany.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Hershey%20Company/The%20Hershey%20Company.html,,,,,
Boston Scientific Corporation,bostonscientific.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Boston%20Scientific%20Corporation/Boston%20Scientific%20Corporation.html,,,,,
"FMC Technologies, Inc.",fmctechnologies.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/FMC%20Technologies,%20Inc./FMC%20Technologies,%20Inc..html",,,,,
"The Interpublic Group of Companies, Inc.",interpublic.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Interpublic%20Group%20of%20Companies,%20Inc./The%20Interpublic%20Group%20of%20Companies,%20Inc..html",,,,,
Commercial Metals Company,cmc.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Commercial%20Metals%20Company/Commercial%20Metals%20Company.html,,,,,
"The Pantry, Inc.",thepantry.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Pantry,%20Inc./The%20Pantry,%20Inc..html",,,,,
"Owens-Illinois, Inc.",o-i.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Owens-Illinois,%20Inc./Owens-Illinois,%20Inc..html",,,,,
American Family Ins. Group,amfam.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/American%20Family%20Ins.%20Group/American%20Family%20Ins.%20Group.html,,,,,
Ralph Lauren Corporation,ralphlauren.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ralph%20Lauren%20Corporation/Ralph%20Lauren%20Corporation.html,,,,,
Biogen Idec Inc.,biogenidec.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Biogen%20Idec%20Inc./Biogen%20Idec%20Inc..html,,,,,
"PetSmart, Inc.",petm.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/PetSmart,%20Inc./PetSmart,%20Inc..html",,,,,
Mylan Inc.,mylan.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Mylan%20Inc./Mylan%20Inc..html,,,,,
Symantec Corporation,symantec.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Symantec%20Corporation/Symantec%20Corporation.html,,,,,
Ameren Corporation,ameren.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ameren%20Corporation/Ameren%20Corporation.html,,,,,
"The Williams Companies, Inc.",williams.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Williams%20Companies,%20Inc./The%20Williams%20Companies,%20Inc..html",,,,,
"Barnes & Noble, Inc.",barnesandnobleinc.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Barnes%20&%20Noble,%20Inc./Barnes%20&%20Noble,%20Inc..html",,,,,
"Huntington Ingalls Industries, Inc.",huntingtoningalls.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Huntington%20Ingalls%20Industries,%20Inc./Huntington%20Ingalls%20Industries,%20Inc..html",,,,,
The Priceline Group Inc.,pricelinegroup.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Priceline%20Group%20Inc./The%20Priceline%20Group%20Inc..html,,,,,
"Agilent Technologies, Inc.",agilent.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Agilent%20Technologies,%20Inc./Agilent%20Technologies,%20Inc..html",,,,,
Dana Holding Corporation,dana.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Dana%20Holding%20Corporation/Dana%20Holding%20Corporation.html,,,,,
"Dillard's, Inc.",dillards.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Dillard's,%20Inc./Dillard's,%20Inc..html",,,,,
Seaboard Corporation,seaboardcorp.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Seaboard%20Corporation/Seaboard%20Corporation.html,,,,,
"Vanguard Health Systems, Inc.",tenethealth.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Vanguard%20Health%20Systems,%20Inc./Vanguard%20Health%20Systems,%20Inc..html",,,,,
"Casey's General Stores, Inc.",caseys.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Casey's%20General%20Stores,%20Inc./Casey's%20General%20Stores,%20Inc..html",,,,,
"O'Reilly Automotive, Inc.",oreillyauto.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/O'Reilly%20Automotive,%20Inc./O'Reilly%20Automotive,%20Inc..html",,,,,
The Blackstone Group L.P.,blackstone.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Blackstone%20Group%20L.P./The%20Blackstone%20Group%20L.P..html,,,,,
Mutual of Omaha Insurance Company,mutualofomaha.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Mutual%20of%20Omaha%20Insurance%20Company/Mutual%20of%20Omaha%20Insurance%20Company.html,,,,,
"Molina Healthcare, Inc.",molinahealthcare.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Molina%20Healthcare,%20Inc./Molina%20Healthcare,%20Inc..html",,,,,
CMS Energy Corporation,cmsenergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/CMS%20Energy%20Corporation/CMS%20Energy%20Corporation.html,,,,,
Targa Resources Corp.,targaresources.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Targa%20Resources%20Corp./Targa%20Resources%20Corp..html,,,,,
"Quanta Services, Inc.",quantaservices.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Quanta%20Services,%20Inc./Quanta%20Services,%20Inc..html",,,,,
Cablevision Systems Corporation,cablevision.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Cablevision%20Systems%20Corporation/Cablevision%20Systems%20Corporation.html,,,,,
Avery Dennison Corporation,averydennison.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Avery%20Dennison%20Corporation/Avery%20Dennison%20Corporation.html,,,,,
Celanese Corporation,celanese.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Celanese%20Corporation/Celanese%20Corporation.html,,,,,
"Foot Locker, Inc.",footlocker-inc.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Foot%20Locker,%20Inc./Foot%20Locker,%20Inc..html",,,,,
Celgene Corporation,celgene.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Celgene%20Corporation/Celgene%20Corporation.html,,,,,
"Advance Auto Parts, Inc.",advanceautoparts.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Advance%20Auto%20Parts,%20Inc./Advance%20Auto%20Parts,%20Inc..html",,,,,
"Mattel, Inc.",mattel.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Mattel,%20Inc./Mattel,%20Inc..html",,,,,
"Live Nation Entertainment, Inc.",livenation.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Live%20Nation%20Entertainment,%20Inc./Live%20Nation%20Entertainment,%20Inc..html",,,,,
General Cable Corporation,generalcable.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/General%20Cable%20Corporation/General%20Cable%20Corporation.html,,,,,
"Ryder System, Inc.",ryder.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Ryder%20System,%20Inc./Ryder%20System,%20Inc..html",,,,,
"EMCOR Group, Inc.",emcorgroup.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/EMCOR%20Group,%20Inc./EMCOR%20Group,%20Inc..html",,,,,
"Allergan, Inc.",allergan.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Allergan,%20Inc./Allergan,%20Inc..html",,,,,
W.R. Berkley Corporation,wrberkley.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/W.R.%20Berkley%20Corporation/W.R.%20Berkley%20Corporation.html,,,,,
"Rockwell Automation, Inc.",rockwellautomation.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Rockwell%20Automation,%20Inc./Rockwell%20Automation,%20Inc..html",,,,,
"NetApp, Inc.",netapp.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/NetApp,%20Inc./NetApp,%20Inc..html",,,,,
Ingredion Incorporated,ingredion.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Ingredion%20Incorporated/Ingredion%20Incorporated.html,,,,,
"Level 3 Communications, Inc.",level3.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Level%203%20Communications,%20Inc./Level%203%20Communications,%20Inc..html",,,,,
Calpine Corporation,calpine.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Calpine%20Corporation/Calpine%20Corporation.html,,,,,
"Omnicare, Inc.",omnicare.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Omnicare,%20Inc./Omnicare,%20Inc..html",,,,,
Erie Insurance Group,erieinsurance.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Erie%20Insurance%20Group/Erie%20Insurance%20Group.html,,,,,
SLM Corporation,salliemae.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/SLM%20Corporation/SLM%20Corporation.html,,,,,
"D.R. Horton, Inc.",drhorton.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/D.R.%20Horton,%20Inc./D.R.%20Horton,%20Inc..html",,,,,
"CC Media Holdings, Inc.",clearchannel.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/CC%20Media%20Holdings,%20Inc./CC%20Media%20Holdings,%20Inc..html",,,,,
Anixter International Inc.,anixter.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Anixter%20International%20Inc./Anixter%20International%20Inc..html,,,,,
"Dick's Sporting Goods, Inc.",dickssportinggoods.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Dick's%20Sporting%20Goods,%20Inc./Dick's%20Sporting%20Goods,%20Inc..html",,,,,
SanDisk Corporation,sandisk.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/SanDisk%20Corporation/SanDisk%20Corporation.html,,,,,
NCR Corporation,ncr.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/NCR%20Corporation/NCR%20Corporation.html,,,,,
"Starwood Hotels & Resorts Worldwide, Inc.",starwoodhotels.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Starwood%20Hotels%20&%20Resorts%20Worldwide,%20Inc./Starwood%20Hotels%20&%20Resorts%20Worldwide,%20Inc..html",,,,,
"Expeditors International of Washington, Inc.",expeditors.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Expeditors%20International%20of%20Washington,%20Inc./Expeditors%20International%20of%20Washington,%20Inc..html",,,,,
"Fidelity National Information Services, Inc.",fisglobal.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Fidelity%20National%20Information%20Services,%20Inc./Fidelity%20National%20Information%20Services,%20Inc..html",,,,,
"United Natural Foods, Inc.",unfi.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/United%20Natural%20Foods,%20Inc./United%20Natural%20Foods,%20Inc..html",,,,,
Auto-Owners Insurance Group,auto-owners.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Auto-Owners%20Insurance%20Group/Auto-Owners%20Insurance%20Group.html,,,,,
"Windstream Holdings, Inc.",windstream.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Windstream%20Holdings,%20Inc./Windstream%20Holdings,%20Inc..html",,,,,
"Dr Pepper Snapple Group, Inc.",drpeppersnapplegroup.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Dr%20Pepper%20Snapple%20Group,%20Inc./Dr%20Pepper%20Snapple%20Group,%20Inc..html",,,,,
Lennar Corporation,lennar.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Lennar%20Corporation/Lennar%20Corporation.html,,,,,
Sanmina,sanmina.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Sanmina/Sanmina.html,,,,,
"Harley-Davidson, Inc.",harley-davidson.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/Harley-Davidson,%20Inc./Harley-Davidson,%20Inc..html",,,,,
CONSOL Energy Inc.,consolenergy.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/CONSOL%20Energy%20Inc./CONSOL%20Energy%20Inc..html,,,,,
The J.M. Smucker Company,smucker.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/The%20J.M.%20Smucker%20Company/The%20J.M.%20Smucker%20Company.html,,,,,
Newell Rubbermaid Inc.,newellrubbermaid.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Newell%20Rubbermaid%20Inc./Newell%20Rubbermaid%20Inc..html,,,,,
"CH2M HILL Companies, Ltd.",ch2m.com,,,,,,,,,,,,,,,"http://forgescan.github.io/web/CH2M%20HILL%20Companies,%20Ltd./CH2M%20HILL%20Companies,%20Ltd..html",,,,,
Energy Future Holdings Corp.,energyfutureholdings.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Energy%20Future%20Holdings%20Corp./Energy%20Future%20Holdings%20Corp..html,,,,,
Susser Holdings Corporation,susser.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/Susser%20Holdings%20Corporation/Susser%20Holdings%20Corporation.html,,,,,
