Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
PepsiCo,pepsico.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/PepsiCo/PepsiCo.html,,,,,
Comcast,comcastcorporation.com,,http://cdn.www.utc.com/Style Library/utc/images/desktop/utc-logo-print.png?v=179,,,,,,,,,,,,,http://forgescan.github.io/web/Comcast/Comcast.html,,,,,
United Technologies,utc.com,,"},function(){google.nav&&google.nav.gjh&&google.nav.gjh()})};window._gjh&&_gjh();</script><style>#gbar,#guser{font-size:13px;padding-top:1px !important;}#gbar{height:22px}#guser{padding-bottom:7px !important;text-align:right}.gbh,.gbd{border-top:1px solid #c9d7f1;font-size:1px}.gbh{height:0;position:absolute;top:24px;width:100%}@media all{.gb1{height:22px;margin-right:.5em;vertical-align:top}#gbar{float:left}}a.gb1,a.gb4{text-decoration:underline !important}a.gb1,a.gb4{color:#00c !important}.gbi .gb4{color:#dd8e27 !important}.gbf .gb4{color:#900 !important}</style><style>body,td,a,p,.h{font-family:arial,sans-serif}body{margin:0;overflow-y:scroll}#gog{padding:3px 8px 0}td{line-height:.8em}.gac_m td{line-height:17px}form{margin-bottom:20px}.h{color:#36c}.q{color:#00c}.ts td{padding:0}.ts{border-collapse:collapse}em{font-weight:bold;font-style:normal}.lst{height:25px;width:496px}.gsfi,.lst{font:18px arial,sans-serif}.gsfs{font:17px arial,sans-serif}.ds{display:inline-box;display:inline-block;margin:3px 0 4px;marhttp://conocophillips.com/_layouts/COP/Resources/img/cop-logo.png",,,,,,,,,,,,,http://forgescan.github.io/web/United%20Technologies/United%20Technologies.html,,,,,
Google,google.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Google/Google.html,,,,,
ConocoPhillips,conocophillips.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/ConocoPhillips/ConocoPhillips.html,,,,,
Dow Chemical,dow.com,,http://ups.com/img/ups_logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Dow%20Chemical/Dow%20Chemical.html,,,,,
Caterpillar,caterpillar.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Caterpillar/Caterpillar.html,,,,,
United Parcel Service,ups.com,,http://lowes.com/images/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/United%20Parcel%20Service/United%20Parcel%20Service.html,,,,,
Pfizer,pfizer.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Pfizer/Pfizer.html,,,,,
Lowe's Companies,lowes.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Lowe's%20Companies/Lowe's%20Companies.html,,,,,
Intel Corporation,intel.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Intel%20Corporation/Intel%20Corporation.html,,,,,
"Energy Transfer Equity, L.P.",energytransfer.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Energy%20Transfer%20Equity,%20L.P./Energy%20Transfer%20Equity,%20L.P..html",,,,,
"Cisco Systems, Inc.",cisco.com,,http://aetna.com/common/images/designs/logo.png,,,,,,,,,,,,,"http://forgescan.github.io/web/Cisco%20Systems,%20Inc./Cisco%20Systems,%20Inc..html",,,,,
Enterprise Products Partners L.P.,enterpriseproducts.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Enterprise%20Products%20Partners%20L.P./Enterprise%20Products%20Partners%20L.P..html,,,,,
Aetna Inc.,aetna.com,,http://lockheedmartin.com/etc/designs/lockheedmartin/clientlibs_newUS/us/refresh/LM-logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Aetna%20Inc./Aetna%20Inc..html,,,,,
The Coca-Cola Company,coca-colacompany.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Coca-Cola%20Company/The%20Coca-Cola%20Company.html,,,,,
Lockheed Martin Corporation,lockheedmartin.com,,"      #nav-logo, #nav-local li a, aside.gpt.pushdown, #chrome-controls{ color: #fff; }",,,,,,,,,,,,,http://forgescan.github.io/web/Lockheed%20Martin%20Corporation/Lockheed%20Martin%20Corporation.html,,,,,
"Best Buy Co., Inc.",bestbuy.com,,http://chsinc.com/~/media/chs%20inc/images/global/chs-logo.ashx,,,,,,,,,,,,,"http://forgescan.github.io/web/Best%20Buy%20Co.,%20Inc./Best%20Buy%20Co.,%20Inc..html",,,,,
The Walt Disney Company,disney.com,,http://sysco.com/structural-images/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Walt%20Disney%20Company/The%20Walt%20Disney%20Company.html,,,,,
CHS Inc.,chsinc.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/CHS%20Inc./CHS%20Inc..html,,,,,
Sysco Corporation,sysco.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Sysco%20Corporation/Sysco%20Corporation.html,,,,,
FedEx Corporation,fedex.com,,http://intlfcstone.com/Content/Images/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/FedEx%20Corporation/FedEx%20Corporation.html,,,,,
"Merck & Co., Inc.",merck.com,,                    var varAuthLogout       = 'https://www.Safeway.com/iaaw/service/logout?goto=http://www.Safeway.com';,,,,,,,,,,,,,"http://forgescan.github.io/web/Merck%20&%20Co.,%20Inc./Merck%20&%20Co.,%20Inc..html",,,,,
INTL FCStone Inc.,intlfcstone.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/INTL%20FCStone%20Inc./INTL%20FCStone%20Inc..html,,,,,
Safeway Inc.,safeway.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Safeway%20Inc./Safeway%20Inc..html,,,,,
"Johnson Controls, Inc.",johnsoncontrols.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Johnson%20Controls,%20Inc./Johnson%20Controls,%20Inc..html",,,,,
Ingram Micro Inc.,ingrammicro.com,,https://www.wfscorp.com/sites/default/files/logo_0.png,,,,,,,,,,,,,http://forgescan.github.io/web/Ingram%20Micro%20Inc./Ingram%20Micro%20Inc..html,,,,,
"Plains GP Holdings, L.P.",plainsallamerican.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Plains%20GP%20Holdings,%20L.P./Plains%20GP%20Holdings,%20L.P..html",,,,,
World Fuel Services Corporation,wfscorp.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/World%20Fuel%20Services%20Corporation/World%20Fuel%20Services%20Corporation.html,,,,,
"Prudential Financial, Inc.",prudential.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Prudential%20Financial,%20Inc./Prudential%20Financial,%20Inc..html",,,,,
Humana Inc.,humana.com,,https://tsocorpsite.files.wordpress.com/2014/08/tsologo.jpg?w=111,,,,,,,,,,,,,http://forgescan.github.io/web/Humana%20Inc./Humana%20Inc..html,,,,,
"The Goldman Sachs Group, Inc.",gs.com,,http://public.libertymutual.com/insurance-auto-home-life/logos/liberty-mutual-insurance-facebook.gif,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20Goldman%20Sachs%20Group,%20Inc./The%20Goldman%20Sachs%20Group,%20Inc..html",,,,,
Tesoro Corporation,tsocorp.com,,http://honeywell.com/PublishingImages/Hon_home_banner/honeywell_logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/Tesoro%20Corporation/Tesoro%20Corporation.html,,,,,
Liberty Mutual Holding Company Inc.,libertymutual.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Liberty%20Mutual%20Holding%20Company%20Inc./Liberty%20Mutual%20Holding%20Company%20Inc..html,,,,,
Honeywell International Inc.,honeywell.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Honeywell%20International%20Inc./Honeywell%20International%20Inc..html,,,,,
"United Continental Holdings, Inc.",unitedcontinentalholdings.com,,http://deere.com/common/deere-resources/img/logo-john-deere.gif,,,,,,,,,,,,,"http://forgescan.github.io/web/United%20Continental%20Holdings,%20Inc./United%20Continental%20Holdings,%20Inc..html",,,,,
"HCA Holdings, Inc.",hcahealthcare.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/HCA%20Holdings,%20Inc./HCA%20Holdings,%20Inc..html",,,,,
Deere & Company,deere.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Deere%20&%20Company/Deere%20&%20Company.html,,,,,
"Delta Air Lines, Inc.",delta.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Delta%20Air%20Lines,%20Inc./Delta%20Air%20Lines,%20Inc..html",,,,,
Oracle Corporation,oracle.com,,http://hess.com/Sitefinity/WebsiteTemplates/HessBootstrap/App_Themes/HessBootstrap/Images/logo_Hess.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Oracle%20Corporation/Oracle%20Corporation.html,,,,,
Morgan Stanley,morganstanley.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Morgan%20Stanley/Morgan%20Stanley.html,,,,,
Hess Corporation,hess.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Hess%20Corporation/Hess%20Corporation.html,,,,,
"Twenty-First Century Fox, Inc.",21cf.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Twenty-First%20Century%20Fox,%20Inc./Twenty-First%20Century%20Fox,%20Inc..html",,,,,
E.I. du Pont de Nemours and Company,dupont.com,,http://newyorklife.com/nyl-internet/img/logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/E.I.%20du%20Pont%20de%20Nemours%20and%20Company/E.I.%20du%20Pont%20de%20Nemours%20and%20Company.html,,,,,
Sears Holdings Corporation,searsholdings.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Sears%20Holdings%20Corporation/Sears%20Holdings%20Corporation.html,,,,,
New York Life Insurance Company,newyorklife.com,,https://www.aexp-static.com/nav/ngn/img/logo_bluebox.gif,,,,,,,,,,,,,http://forgescan.github.io/web/New%20York%20Life%20Insurance%20Company/New%20York%20Life%20Insurance%20Company.html,,,,,
"Mondelez International, Inc.",mondelezinternational.com,,http://static.nationwide.com/static/icon-fs-logo-nationwideblue.gif?r=47,,,,,,,,,,,,,"http://forgescan.github.io/web/Mondelez%20International,%20Inc./Mondelez%20International,%20Inc..html",,,,,
American Express Company,americanexpress.com,,><img src='/resources/Allstate/images/financial/global/allstate-logo-header-170x45.png' alt='Allstate Insurance Company Logo' name='&amp;lpos=IconTopNavigation'></a>None,,,,,,,,,,,,,http://forgescan.github.io/web/American%20Express%20Company/American%20Express%20Company.html,,,,,
Nationwide Mutual Insurance Co.,nationwide.com,,http://supervalu.com/etc/designs/supervalu/_jcr_content/en_pageheader/logo.img.png/1378414930526.png,,,,,,,,,,,,,http://forgescan.github.io/web/Nationwide%20Mutual%20Insurance%20Co./Nationwide%20Mutual%20Insurance%20Co..html,,,,,
The Allstate Corporation,allstate.com,,><a class='' href='https://publictools.tiaa-cref.org/private/selfservices/sso/logout.do'>Log Out</a></li>,,,,,,,,,,,,,http://forgescan.github.io/web/The%20Allstate%20Corporation/The%20Allstate%20Corporation.html,,,,,
"Tyson Foods, Inc.",tysonfoods.com,,                background-image: url(/~/media/upload/logo-massmutual-large.png?w=180);http://cigna.com/assets/media/images/logo/favicon.ico,,,,,,,,,,,,,"http://forgescan.github.io/web/Tyson%20Foods,%20Inc./Tyson%20Foods,%20Inc..html",,,,,
Supervalu Inc.,supervalu.com,,http://directv.com/DTVAPP/login/component/logoutTimeout.jsp?logoutNextUrl=%2FDTVAPP%2Fpepod%2Fconfigure.jsp&amp;getDirectv=true&amp;clear=true,,,,,,,,,,,,,http://forgescan.github.io/web/Supervalu%20Inc./Supervalu%20Inc..html,,,,,
TIAA-CREF,tiaa-cref.org,,http://generaldynamics.com/images/template/universal/logo_General_Dynamics.png,,,,,,,,,,,,,http://forgescan.github.io/web/TIAA-CREF/TIAA-CREF.html,,,,,
Massachusetts Mutual Life Insurance Company,massmutual.com,,http://pmi.com/_layouts/PMI/GCW/Images/pmi-logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/Massachusetts%20Mutual%20Life%20Insurance%20Company/Massachusetts%20Mutual%20Life%20Insurance%20Company.html,,,,,
CIGNA Corporation,cigna.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/CIGNA%20Corporation/CIGNA%20Corporation.html,,,,,
DIRECTV,directv.com,,http:\/\/www.timewarner.com\/sites\/timewarner.com\/files\/logo-images\/wb-logo.png,,,,,,,,,,,,,http://forgescan.github.io/web/DIRECTV/DIRECTV.html,,,,,
