Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,Landing Page URL,"
"
AGCO Corporation,agcocorp.com,,,,,,,,,,,,,,,
"L Brands, Inc.",lb.com,,,,,,,,,,,,,,,
"Hertz Global Holdings, Inc.",hertz.com,,,,,,,,,,,,,,,
CDW Corporation,cdw.com,,,,,,,,,,,,,,,
"CST Brands, Inc.",cstbrands.com,,,,,,,,,,,,,,,
Sempra Energy,sempra.com,,,,,,,,,,,,,,,
R.R. Donnelley & Sons Company,rrdonnelley.com,,,,,,,,,,,,,,,
BB&T Corporation,bbt.com,,,,,,,,,,,,,,,
Devon Energy Corporation,devonenergy.com,,,,,,,,,,,,,,,
"Family Dollar Stores, Inc.",familydollar.com,,,,,,,,,,,,,,,
Unum Group,unum.com,,,,,,,,,,,,,,,
Ally Financial Inc.,ally.com,,,,,,,,,,,,,,,
"Reinsurance Group of America, Incorporated",rgare.com,,,,,,,,,,,,,,,
State Street Corporation,statestreet.com,,,,,,,,,,,,,,,
"Air Products & Chemicals, Inc.",airproducts.com,,,,,,,,,,,,,,,
"Ross Stores, Inc.",rossstores.com,,,,,,,,,,,,,,,
The Sherwin-Williams Company,sherwin.com,,,,,,,,,,,,,,,
The Est?ö£?îÉe Lauder Companies Inc.,elcompanies.com,,,,,,,,,,,,,,,
"BlackRock, Inc.",blackrock.com,,,,,,,,,,,,,,,
"Western Refining, Inc.",wnr.com,,,,,,,,,,,,,,,
"Avon Products, Inc.",avoncompany.com,,,,,,,,,,,,,,,
The Mosaic Company,mosaicco.com,,,,,,,,,,,,,,,
Public Service Enterprise Group Incorporated,pseg.com,,,,,,,,,,,,,,,
Dean Foods Company,deanfoods.com,,,,,,,,,,,,,,,
Cameron International Corporation,c-a-m.com,,,,,,,,,,,,,,,
MGM Resorts International,mgmresorts.com,,,,,,,,,,,,,,,
KKR & Co. L.P.,kkr.com,,,,,,,,,,,,,,,
Hilton Worldwide Holdings Inc.,hiltonworldwide.com,,,,,,,,,,,,,,,
DTE Energy Company,dteenergy.com,,,,,,,,,,,,,,,
"Genworth Financial, Inc.",genworth.com,,,,,,,,,,,,,,,
"Henry Schein, Inc.",henryschein.com,,,,,,,,,,,,,,,
Rock-Tenn Company,rocktenn.com,,,,,,,,,,,,,,,
"WellCare Health Plans, Inc.",wellcare.com,,,,,,,,,,,,,,,
"W.W. Grainger, Inc.",grainger.com,,,,,,,,,,,,,,,
Discover Financial Services,discoverfinancial.com,,,,,,,,,,,,,,,
Eastman Chemical Company,eastman.com,,,,,,,,,,,,,,,
"Principal Financial Group, Inc.",principal.com,,,,,,,,,,,,,,,
Reliance Steel & Aluminum Co.,rsac.com,,,,,,,,,,,,,,,
"AutoZone, Inc.",autozone.com,,,,,,,,,,,,,,,
Dover Corporation,dovercorporation.com,,,,,,,,,,,,,,,
"Micron Technology, Inc.",micron.com,,,,,,,,,,,,,,,
"Owens & Minor, Inc.",owens-minor.com,,,,,,,,,,,,,,,
"Assurant, Inc.",assurant.com,,,,,,,,,,,,,,,
GameStop Corp.,gamestopcorp.com,,,,,,,,,,,,,,,
Stryker Corporation,stryker.com,,,,,,,,,,,,,,,
"Group 1 Automotive, Inc.",group1auto.com,,,,,,,,,,,,,,,
Cognizant Technology Solutions Corporation,cognizant.com,,,,,,,,,,,,,,,
"Sonic Automotive, Inc.",sonicautomotive.com,,,,,,,,,,,,,,,
"Autoliv, Inc.",autoliv.com,,,,,,,,,,,,,,,
Hormel Foods Corporation,hormelfoods.com,,,,,,,,,,,,,,,
"Motorola Solutions, Inc.",motorolasolutions.com,,,,,,,,,,,,,,,
"Crown Holdings, Inc.",crowncork.com,,,,,,,,,,,,,,,
"SunTrust Banks, Inc.",suntrust.com,,,,,,,,,,,,,,,
Campbell Soup Company,campbellsoupcompany.com,,,,,,,,,,,,,,,
"Fidelity National Financial, Inc.",fnf.com,,,,,,,,,,,,,,,
